1,1,3,101,1
,,,202,2
,,,303,3
,,,401,4
,,,402,5
,,,501,6
,,,601,2
,,,602,3
,,,701,4
,,,702,5
,,,703,5
,,,704,1
,,,801,2
,,,802,3
,,,803,4
,,,804,5
,,,905,6
,,,1001,1
,,,1101,2
,,,1102,3
,,,1103,4
,,,1104,5
,,,1201,6
,,,1301,2
,,,1402,3
,,,1501,4
,,,1502,5
,1,3,101,1
,,,202,2
,,,303,3
,,,401,4
,,,402,5
,,,501,6
,,,601,2
,,,602,3
,,,701,4
,,,702,5
,,,703,5
,,,704,1
,,,801,2
,,,802,3
,,,803,4
,,,804,5
,,,905,6
,,,1001,1
,,,1101,2
,,,1102,3
,,,1103,4
,,,1104,5
,,,1201,6
,,,1301,2
,,,1402,3
,,,1501,4
,,,1502,5
